,Lexical,Morphological,Syntactic,Combined
Lexical,0.0,0.38181574027077037,0.15155732467425753,0.4666810524691388
Morphological,0.38181574027077037,0.0,0.26801602917054945,0.07710021595489658
Syntactic,0.15155732467425753,0.26801602917054945,0.0,0.26643080268628905
Combined,0.4666810524691388,0.07710021595489658,0.26643080268628905,0.0
