Classifier,CV_Accuracy,CV_F1,Modern_Biblical_Pct_News,Modern_Biblical_Pct_Medical,Modern_Biblical_Pct_Tapuz,Modern_Biblical_Pct_Blogs
Lexical,0.7545112310664719,0.7883185486608943,0.635375656167979,0.6998779252486949,0.48171504677546173,0.4350618159478342
Morphological,0.8533409288674543,0.8552401032732526,0.2961573162729659,0.19069634554946624,0.14030231550570452,0.1489581894534592
Syntactic,0.7999312714776632,0.8105179959796753,0.3873441601049869,0.4438066543726137,0.27998684189412537,0.25665420795804306
Combined,0.893782502249163,0.8959864739398661,0.2101172900262467,0.19565725565569725,0.1438325390330397,0.11160680233121474
